date,name,cik,variable,value
2002-08-21,The Travelers Companies Inc.,86312.0,added_ticker,TRV
2002-12-12,Quest Diagnostics,1022079.0,added_ticker,DGX
2003-03-14,Apartment Investment & Management,922864.0,added_ticker,AIV
2003-03-25,NortonLifeLock,849399.0,added_ticker,NLOK
2003-07-17,Prologis,1045609.0,added_ticker,PLD
2003-09-25,Quintiles Transnational,,removed_ticker,QTRN
2003-09-25,Express Scripts,,added_ticker,ESRX
2003-11-13,Biogen Inc.,875045.0,added_ticker,BIIB
2004-02-23,M&T Bank Corp.,36270.0,added_ticker,MTB
2004-03-31,E*Trade,1015780.0,added_ticker,ETFC
2004-04-23,Mylan N.V.,1623613.0,added_ticker,MYL
2004-07-01,Gilead Sciences,882095.0,added_ticker,GILD
2004-11-01,Laboratory Corp. of America Holding,920148.0,added_ticker,LH
2005-03-14,National Oilwell Varco Inc.,1021860.0,added_ticker,NOV
2005-06-22,D. R. Horton,882184.0,added_ticker,DHI
2005-07-01,Great Lakes Chemical,,removed_ticker,GLK
2005-07-01,Constellation Brands,16918.0,added_ticker,STZ
2005-08-19,Public Storage,1393311.0,added_ticker,PSA
2005-10-03,Ameriprise Financial,820027.0,added_ticker,AMP
2005-10-04,Lennar Corp.,920760.0,added_ticker,LEN
2005-11-18,Amazon.com Inc.,1018724.0,added_ticker,AMZN
2006-01-05,Estée Lauder Companies,1001250.0,added_ticker,EL
2006-02-01,Verisign Inc.,1014473.0,added_ticker,VRSN
2006-04-03,Alphabet Inc. (Class C),1652044.0,added_ticker,GOOG
2006-04-03,Boston Properties,1037540.0,added_ticker,BXP
2006-04-04,Kimco Realty,879101.0,added_ticker,KIM
2006-06-02,Juniper Networks,1043604.0,added_ticker,JNPR
2006-06-02,Albertsons,,removed_ticker,ABS
2006-08-11,CME Group Inc.,1156375.0,added_ticker,CME
2006-09-29,Western Union Co,1365135.0,added_ticker,WU
2006-11-10,Fidelity National Information Services,1136893.0,added_ticker,FIS
2006-11-10,CBRE Group,1138118.0,added_ticker,CBRE
2006-11-17,Cognizant Technology Solutions,1058290.0,added_ticker,CTSH
2007-01-10,Symbol Technologies,,removed_ticker,SBL
2007-01-10,AvalonBay Communities,915912.0,added_ticker,AVB
2007-02-02,Ralph Lauren Corporation,1037038.0,added_ticker,RL
2007-02-12,Varian Medical Systems,203527.0,added_ticker,VAR
2007-03-02,C. H. Robinson Worldwide,1043277.0,added_ticker,CHRW
2007-03-20,Host Hotels & Resorts,1070750.0,added_ticker,HST
2007-03-30,Sabre Holdings,,removed_ticker,TSG
2007-03-30,Kraft Foods,,added_ticker,KFT
2007-04-10,Assurant,1267238.0,added_ticker,AIZ
2007-07-02,Discover Financial Services,1393612.0,added_ticker,DFS
2007-07-12,Akamai Technologies Inc,1086222.0,added_ticker,AKAM
2007-08-24,KeySpan,,removed_ticker,KSE
2007-08-24,Leucadia National,,added_ticker,LUK
2007-09-07,Microchip Technology,827054.0,added_ticker,MCHP
2007-09-26,First Data Corp.,,removed_ticker,FDC
2007-09-26,Intercontinental Exchange,1571949.0,added_ticker,ICE
2007-09-27,Tesoro Corp.,,added_ticker,TSO
2007-09-27,Maxim Integrated Products,,removed_ticker,MXIM
2007-10-01,Teradata Corp.,,added_ticker,TDC
2007-10-01,NCR Corp.,,removed_ticker,NCR
2007-10-02,Expedia Group,1324424.0,added_ticker,EXPE
2007-10-02,Solectron,,removed_ticker,SLR
2007-10-08,Noble Energy,72207.0,added_ticker,NBL
2007-10-10,Expeditors,746515.0,added_ticker,EXPD
2007-10-26,Jacobs Engineering Group,52988.0,added_ticker,J
2007-10-26,Jacobs Engineering Group,,added_ticker,JEC
2007-10-26,Avaya Inc.,,removed_ticker,AV
2007-11-19,American Tower Corp.,1053507.0,added_ticker,AMT
2007-12-13,Dow Jones,,removed_ticker,DJ
2007-12-13,GameStop,,added_ticker,GME
2007-12-20,Range Resources,,added_ticker,RRC
2007-12-20,Tribune Co.,,removed_ticker,TRB
2008-03-31,Healthpeak Properties,765880.0,added_ticker,PEAK
2008-03-31,Philip Morris International,1413329.0,added_ticker,PM
2008-06-02,Intuitive Surgical Inc.,1035267.0,added_ticker,ISRG
2008-06-10,Lorillard Inc.,,added_ticker,LO
2008-06-10,Ambac Financial,,removed_ticker,ABK
2008-06-23,Cabot Oil & Gas,858470.0,added_ticker,COG
2008-07-18,Mastercard Inc.,1141391.0,added_ticker,MA
2008-07-31,DaVita Inc.,927066.0,added_ticker,DVA
2008-08-21,Invesco Ltd.,914208.0,added_ticker,IVZ
2008-08-27,CF Industries Holdings Inc,1324404.0,added_ticker,CF
2008-09-12,Salesforce.com,,added_ticker,CRM
2008-09-12,Fannie Mae,,removed_ticker,FNM
2008-09-12,Freddie Mac,,removed_ticker,FRE
2008-09-12,Fastenal,,added_ticker,FAST
2008-09-15,Salesforce.com,1108524.0,added_ticker,CRM
2008-09-15,Fastenal Co,815556.0,added_ticker,FAST
2008-09-16,Lehman Brothers,,removed_ticker,LEH
2008-09-16,Harris Corporation,,added_ticker,HRS
2008-09-24,Pioneer Natural Resources,1038357.0,added_ticker,PXD
2008-09-30,Amphenol Corp,820313.0,added_ticker,APH
2008-10-02,Flowserve Corporation,30625.0,added_ticker,FLS
2008-10-22,"Nasdaq, Inc.",1120193.0,added_ticker,NDAQ
2008-10-31,WEC Energy Group,783325.0,added_ticker,WEC
2008-11-06,JM Smucker,91419.0,added_ticker,SJM
2008-11-13,People's United Financial,1378946.0,added_ticker,PBCT
2008-11-14,Dentsply Sirona,818479.0,added_ticker,XRAY
2008-11-14,Wynn Resorts Ltd,1174922.0,added_ticker,WYNN
2008-12-05,Republic Services Inc,1060391.0,added_ticker,RSG
2008-12-31,Owens-Illinois,,added_ticker,OI
2008-12-31,Wachovia Bank,,removed_ticker,WB
2009-01-02,FLIR Systems,354908.0,added_ticker,FLIR
2009-01-06,Iron Mountain Incorporated,1020569.0,added_ticker,IRM
2009-01-30,Welltower Inc.,766704.0,added_ticker,WELL
2009-03-03,Jones Apparel Group,,removed_ticker,JNY
2009-03-03,Hormel Foods,,added_ticker,HRL
2009-03-03,American Capital,,removed_ticker,ACAS
2009-03-03,Ventas Inc.,,added_ticker,VTR
2009-03-04,Ventas Inc,740260.0,added_ticker,VTR
2009-03-04,Hormel Foods Corp.,48465.0,added_ticker,HRL
2009-03-27,O'Reilly Automotive,898173.0,added_ticker,ORLY
2009-06-05,TechnipFMC,1681459.0,added_ticker,FTI
2009-07-01,Western Digital,106040.0,added_ticker,WDC
2009-07-01,Quanta Services Inc.,1050915.0,added_ticker,PWR
2009-08-19,FMC Corporation,37785.0,added_ticker,FMC
2009-09-28,Cooper Industries Ltd.,,removed_ticker,CBE
2009-09-28,Airgas Inc,,added_ticker,ARG
2009-11-03,Priceline.com,,added_ticker,PCLN
2009-11-03,Schering-Plough Corp.,,removed_ticker,SGP
2009-11-06,Booking Holdings Inc,1075531.0,added_ticker,BKNG
2009-12-18,Ciena,,removed_ticker,CIEN
2009-12-18,Dynegy,,removed_ticker,DYN
2009-12-18,KB Home,,removed_ticker,KBH
2009-12-18,Convergys,,removed_ticker,CVG
2009-12-18,SAIC Inc.,,added_ticker,SAIC
2009-12-18,Visa Inc.,,added_ticker,V
2009-12-18,Mead Johnson Nutrition,,added_ticker,MJN
2009-12-18,Cliffs Natural Resources,,added_ticker,CLF
2009-12-21,Visa Inc.,1403161.0,added_ticker,V
2009-12-21,Ross Stores,745732.0,added_ticker,ROST
